m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 0.493066
4, 4, 4, 1, 4, 1, 12.549020
6, 6, 6, 1, 6, 1, 20.186916
8, 8, 8, 1, 8, 1, 4.149108
10, 10, 10, 1, 10, 1, 4.825090
12, 12, 12, 1, 12, 1, 5.735147
14, 14, 14, 1, 14, 1, 7.859649
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 0.475483
4, 4, 1, 4, 1, 4, 2.622951
6, 6, 1, 6, 1, 6, 3.567300
8, 8, 1, 8, 1, 8, 4.733436
10, 10, 1, 10, 1, 10, 4.685669
12, 12, 1, 12, 1, 12, 5.709566
14, 14, 1, 14, 1, 14, 8.306552
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.230769
4, 4, 4, 1, 1, 4, 4.848485
6, 6, 6, 1, 1, 6, 46.956524
8, 8, 8, 1, 1, 8, 83.478264
10, 10, 10, 1, 1, 10, 114.285713
12, 12, 12, 1, 1, 12, 131.908386
14, 14, 14, 1, 1, 14, 163.333328
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 0.526604
4, 4, 1, 4, 4, 1, 2.142857
6, 6, 1, 6, 6, 1, 11.675676
8, 8, 1, 8, 8, 1, 23.925234
10, 10, 1, 10, 10, 1, 25.917927
12, 12, 1, 12, 12, 1, 132.413803
14, 14, 1, 14, 14, 1, 168.602142
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 1.032258
4, 4, 8, 4, 4, 2, 2.776573
6, 6, 12, 6, 6, 2, 4.241531
8, 8, 16, 8, 8, 2, 3.883692
10, 10, 20, 10, 10, 2, 6.080567
12, 12, 24, 12, 12, 2, 7.673180
14, 14, 28, 14, 14, 2, 10.338461
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.737327
4, 2, 2, 1, 1, 2, 1.090909
6, 2, 2, 1, 1, 2, 3.972414
8, 2, 2, 1, 1, 2, 4.885496
10, 2, 2, 1, 1, 2, 7.476635
12, 2, 2, 1, 1, 2, 10.194690
14, 2, 2, 1, 1, 2, 14.834436
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.571195
2, 4, 4, 1, 1, 4, 2.424242
2, 6, 6, 1, 1, 6, 3.650190
2, 8, 8, 1, 1, 8, 4.836272
2, 10, 10, 1, 1, 10, 5.797101
2, 12, 12, 1, 1, 12, 8.287770
2, 14, 14, 1, 1, 14, 9.627507
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.037975
4, 4, 4, 1, 4, 1, 8.552339
6, 6, 6, 1, 6, 1, 13.478939
8, 8, 8, 1, 8, 1, 17.123747
10, 10, 10, 1, 10, 1, 19.448946
12, 12, 12, 1, 12, 1, 19.647526
14, 14, 14, 1, 14, 1, 21.343012
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 3.047619
4, 4, 1, 4, 1, 4, 8.648648
6, 6, 1, 6, 1, 6, 13.542320
8, 8, 1, 8, 1, 8, 17.104677
10, 10, 1, 10, 1, 10, 19.688269
12, 12, 1, 12, 1, 12, 20.023174
14, 14, 1, 14, 1, 14, 20.841825
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.529412
4, 4, 4, 1, 1, 4, 14.014599
6, 6, 6, 1, 1, 6, 28.799999
8, 8, 8, 1, 1, 8, 50.693066
10, 10, 10, 1, 1, 10, 66.481995
12, 12, 12, 1, 1, 12, 79.815239
14, 14, 14, 1, 1, 14, 107.397255
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.542435
4, 4, 1, 4, 4, 1, 13.862816
6, 6, 1, 6, 6, 1, 28.896322
8, 8, 1, 8, 8, 1, 49.389069
10, 10, 1, 10, 10, 1, 65.934067
12, 12, 1, 12, 12, 1, 85.544556
14, 14, 1, 14, 14, 1, 110.682350
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.909091
4, 4, 8, 4, 4, 2, 7.710843
6, 6, 12, 6, 6, 2, 11.489362
8, 8, 16, 8, 8, 2, 13.604959
10, 10, 20, 10, 10, 2, 14.814815
12, 12, 24, 12, 12, 2, 14.788190
14, 14, 28, 14, 14, 2, 15.529878
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.555556
4, 2, 2, 1, 1, 2, 6.881720
6, 2, 2, 1, 1, 2, 10.359713
8, 2, 2, 1, 1, 2, 13.812950
10, 2, 2, 1, 1, 2, 16.551723
12, 2, 2, 1, 1, 2, 18.402555
14, 2, 2, 1, 1, 2, 22.935154
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.555556
2, 4, 4, 1, 1, 4, 7.032967
2, 6, 6, 1, 1, 6, 10.322580
2, 8, 8, 1, 1, 8, 13.812950
2, 10, 10, 1, 1, 10, 16.382254
2, 12, 12, 1, 1, 12, 19.930796
2, 14, 14, 1, 1, 14, 22.935154
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.037975
4, 4, 4, 1, 4, 1, 8.421053
6, 6, 6, 1, 6, 1, 13.231240
8, 8, 8, 1, 8, 1, 16.768559
10, 10, 10, 1, 10, 1, 18.957346
12, 12, 12, 1, 12, 1, 19.093924
14, 14, 14, 1, 14, 1, 20.777386
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 3.000000
4, 4, 1, 4, 1, 4, 8.458150
